ProductKey,ProductName,CategoryName,SubcategoryName,search_query_used,image_url,image_url2,image_url3,image_source,local_path
FUR-FU-10003447,"Eldon Light Bulb, Duo Pack",Furniture,Furnishings,Light Bulb,http://localhost:8000/images/Light%20Bulb/lb1.jpg,http://localhost:8000/images/Light%20Bulb/lb2.jpg,http://localhost:8000/images/Light%20Bulb/lb3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Light Bulb\lb1.jpg
FUR-NOV-10002791,"Novimex Swivel Stool, Set of Two",Furniture,Chairs,Stool,http://localhost:8000/images/Stool/stl1.jpg,http://localhost:8000/images/Stool/stl2.jpg,http://localhost:8000/images/Stool/stl3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Stool\stl1.jpg
FUR-CH-10000666,"SAFCO Chairmat, Black",Furniture,Chairs,Chair Mat,http://localhost:8000/images/Chair%20Mat/chm1.jpg,http://localhost:8000/images/Chair%20Mat/chm2.jpg,http://localhost:8000/images/Chair%20Mat/chm3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Chair Mat\chm1.jpg
FUR-CH-10000214,"Hon Rocking Chair, Set of Two",Furniture,Chairs,Chair,http://localhost:8000/images/Chair/ch1.jpg,http://localhost:8000/images/Chair/ch2.jpg,http://localhost:8000/images/Chair/ch3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Chair\ch1.jpg
FUR-BO-10000728,"Dania Corner Shelving, Traditional",Furniture,Bookcases,Shelving Unit,http://localhost:8000/images/Shelving%20Unit/shu1.jpg,http://localhost:8000/images/Shelving%20Unit/shu2.jpg,http://localhost:8000/images/Shelving%20Unit/shu3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Shelving Unit\shu1.jpg
FUR-TA-10002797,"Chromcraft Round Table, Adjustable Height",Furniture,Tables,Table,http://localhost:8000/images/Table/tbe1.jpg,http://localhost:8000/images/Table/tbe2.jpg,http://localhost:8000/images/Table/tbe3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Table\tbe1.jpg
FUR-BO-10001498,"Dania Classic Bookcase, Pine",Furniture,Bookcases,Bookcase,http://localhost:8000/images/Bookcase/BKC1.jpg,http://localhost:8000/images/Bookcase/BKC2.jpg,http://localhost:8000/images/Bookcase/BKC3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Bookcase\BKC1.jpg
FUR-CH-10004827,"SAFCO Chairmat, Black",Furniture,Chairs,Chair Mat,http://localhost:8000/images/Chair%20Mat/chm2.jpg,http://localhost:8000/images/Chair%20Mat/chm3.jpg,http://localhost:8000/images/Chair%20Mat/chm1.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Chair Mat\chm2.jpg
FUR-FU-10000394,"Rubbermaid Photo Frame, Durable",Furniture,Furnishings,Photo/Document Frame,http://localhost:8000/images/Photo_Document%20Frame/pdf1.jpg,http://localhost:8000/images/Photo_Document%20Frame/pdf2.jpg,http://localhost:8000/images/Photo_Document%20Frame/pdf3.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Photo_Document Frame\pdf1.jpg
FUR-FU-10000468,"Advantus Frame, Durable",Furniture,Furnishings,Photo/Document Frame,http://localhost:8000/images/Photo_Document%20Frame/pdf2.jpg,http://localhost:8000/images/Photo_Document%20Frame/pdf3.jpg,http://localhost:8000/images/Photo_Document%20Frame/pdf1.jpg,local_item_type_folder,C:\Users\Lenovo\Desktop\1_2026 Slides\CSX4207_DecisionSupport_recommendor\Project\images\Photo_Document Frame\pdf2.jpg
